Country,Annual-Nominal (US$),Annual-PPP (Int$),Workweek  (hours),Hourly-Nominal (US$),Hourly-PPP (Int$),Percents�of  GDP per capita,Effective per
Liechtenstein,,,48,,,,2014
Lithuania,8319,13826,40,4,6.65,46.30%,01-Jan-20
Luxembourg,29374,24651,40,14.12,11.85,24.10%,01-Jan-19
North Macedonia,2261,5488,40,1.09,2.64,36.70%,01-Mar-16
Madagascar,462,1601,41,0.22,0.75,106.30%,01-Jan-15
Malawi,294,1035,48,0.12,0.41,88.60%,01-Jan-16
Malaysia,2566,6646,48,1.03,2.66,24%,01-Jul-16
Maldives,,,48,,,,2014
Mali,587,1560,48,0.24,0.62,73.40%,2014
Malta,11019,14152,40,5.3,6.8,37.30%,01-Jan-17
Marshall Islands,4160,3902,40,2,1.88,97%,06-Mar-86
Mauritania,1006,295,40,0.48,0.14,7.70%,2011
Mauritius,3069,5438,45,1.31,2.32,25.80%,2019
Mexico,2725,5102,48,1.09,2.04,29.50%,2021
Moldova,1800,4854,40,0.87,2.33,91%,01-May-19
Monaco,24092,,39,11.88,,17%,01-Jan-19
Mongolia,2066,6068,40,0.99,2.92,49.50%,01-Jan-20
Montenegro,2602,5386,40,1.25,2.59,30.50%,01-May-13
Morocco,3709,8556,44,1.62,3.74,108.90%,01-Jul-15
Mozambique,567,1818,40,0.27,0.87,149.40%,01-May-14
Myanmar,757,3011,44,0.33,1.32,52.60%,01-Sep-15
Namibia,,,45,,,,2014
Nauru,,,40,,,,2014
Nepal,1544,4405,48,0.62,1.76,177.80%,Jul-18
Netherlands,22876,21786,40,11,10.47,43.10%,01-Jul-20
New Zealand,27881,23971,40,13.4,11.52,62.20%,01-Apr-20
Nicaragua,1273,3397,48,0.51,1.36,61.30%,01-Sep-15
Niger,619,1633,40,0.3,0.78,165.50%,17-Aug-12
Nigeria,1179,2911,40,0.57,1.4,49.70%,18-Nov-19
Northern Cyprus,9012,,40,,,,01-Mar-18
Norway,,,37.5,,,,2014
Oman,10263,19500,45,4.39,8.33,42.50%,01-Jul-13
Pakistan,1724,6546,48,0.69,2.62,125%,01-Jun-16
Palau,6240,6638,40,3,3.19,40.70%,01-Oct-14
Palestine,4833,,45,2.07,,,2014
Panama,3819,6473,48,1.53,2.59,28.10%,01-Jan-18
Papua New Guinea,2295,2795,44,1,1.22,66.80%,01-Aug-14
Paraguay,4512,9758,48,1.81,3.91,102%,01-Jul-18
Peru,3423,6414,48,1.37,2.57,49.30%,01-Jun-18
Philippines,2770,6912,40,1.33,3.32,88.60%,16-Mar-19
Poland,8254,16596,40,3.97,7.98,60.60%,01-Jan-20
Portugal,9910,12353,40,4.76,5.94,40.30%,01-Jan-20
Qatar,,,48,,,,2020
Romania,6163,13206,40,2.96,6.35,57.40%,01-Jan-20
Russia,2495,5850,40,1.2,2.81,23.60%,01-May-18
Rwanda,,,45,,,,2013
Saint Kitts and Nevis,6933,9087,40,3.33,4.37,34.40%,01-Nov-14
Saint Lucia,,,40,,,,2013
Saint Vincent and the Grenadines,2407,3351,40,1.16,1.61,29.20%,01-Jul-08
Samoa,1644,2237,40,0.79,1.08,35.10%,2012
San Marino,20245,23400,37.5,10.38,12,38.40%,01-Jan-17
São Tomé and Príncipe,,,,,,,2013
Saudi Arabia,9600,18557,48,3.85,7.43,34.10%,02-Feb-13
Senegal,654,1617,40,0.31,0.78,63%,01-Jan-96
Serbia,3330,7291,40,1.6,3.51,50.20%,01-Jan-20
Seychelles,4069,6435,40,1.96,3.09,22.70%,01-Jan-14
Sierra Leone,1181,2602,40,0.57,1.25,176.20%,01-Jan-15
Singapore,,,44,,,,2019
Slovakia,8687,13388,40,4.18,6.44,44%,01-Jan-21
Slovenia,12553,15880,40,6.03,7.63,48.50%,01-Jan-19
Solomon Islands,949,955,45,0.41,0.41,42.70%,01-May-08
Somalia,,,48,,,,2013
South Africa,3511,8897,45,1.5,3.8,67.40%,01-Jan-19
South Sudan,,,,,,,2011
Spain,15687,17968,40,7.54,8.64,49.50%,01-Jan-20
