หนองคาย,15670.3,18360.73,19277.7,16532.3,18815.11,18129.21,19104.4,18943.82
มหาสารคาม,15506.2,14253.58,14654.2,18430.56,17664.79,17286.87,18308.83,19027.99
ร้อยเอ็ด,15347.5,17761.85,17755.5,16379.71,16770.21,15685.74,17320.4,15738.71
กาฬสินธุ์,12445.2,12178.38,12746.6,11970.07,11541.28,11857.86,13076.14,13544.26
สกลนคร,13021.3,13474.68,14549.0,15268.78,15159.1,15130.25,14840.92,16318.73
นครพนม,11447.1,12562.25,13973.1,13501.08,13324.5,14416.97,16233.73,16187.32
มุกดาหาร,13146.4,15202.76,17767.0,17021.91,18368.81,15761.48,14901.97,17546.03
นครศรีธรรมราช,19364.2,20661.17,19828.7,21011.81,20051.18,21135.24,19170.64,18940.91
กระบี่,20835.7,32836.66,28403.2,24823.83,24925.19,24326.12,23275.81,26631.25
พังงา,17899.6,21719.34,20716.9,20255.66,19958.35,20703.32,17998.67,19292.16
ภูเก็ต,25337.5,28111.37,27435.4,30238.67,32853.12,30992.5,32762.88,31346.83
สุราษฎร์ธานี,28118.6,26410.48,26165.3,24743.15,24186.29,25212.15,23489.94,23307.61
ระนอง,22586.6,18246.94,18616.9,18511.33,18496.89,17130.73,17186.76,17945.54
ชุมพร,22552.3,23985.4,24541.8,22933.28,24143.88,20692.85,20193.54,21040.06
สงขลา,21669.8,21744.26,23617.3,23466.01,23693.16,21127.92,18017.38,18136.34
สตูล,22714.7,19715.22,19591.2,20732.92,18810.72,19335.78,18589.49,20127.52
ตรัง,20922.3,17107.1,19794.9,18599.29,18768.44,18648.61,20143.01,17904.52
พัทลุง,16635.7,18514.03,17143.3,18420.66,16807.88,15947.09,15848.77,16817.89
ปัตตานี,16668.1,14809.34,15341.1,17962.18,16948.61,15705.85,15948.56,14862.49
ยะลา,12521.7,12370.15,13453.9,14122.15,15483.63,13301.01,13595.63,14141.04
นราธิวาส,13727.8,11985.95,13717.4,13065.8,14980.1,15630.54,14572.65,15126.26
